[ 2025-08-14 18:08:09,772] 18 root -INFO - Initiate the data ingestion 
[ 2025-08-14 18:08:13,329] 68 root -INFO -  Performed train test Split on the dataframe
[ 2025-08-14 18:08:13,330] 70 root -INFO -  Exited split_data_as_train_test method of the data ingestion class
[ 2025-08-14 18:08:13,330] 78 root -INFO - Exporting train data and test file path 
[ 2025-08-14 18:08:13,416] 87 root -INFO - Exported train data and test file path 
[ 2025-08-14 18:08:13,417] 20 root -INFO - Data ingestion is completed
[ 2025-08-14 18:08:13,427] 25 root -INFO - Initiate the data validation 
[ 2025-08-14 18:08:13,511] 37 root -INFO -  Required number of columns: 2
[ 2025-08-14 18:08:13,511] 38 root -INFO - Data frame has columns: 31
[ 2025-08-14 18:08:13,684] 27 root -INFO -  Data validation Completed
[ 2025-08-14 18:08:13,686] 32 root -INFO - Data transformation Started
[ 2025-08-14 18:08:13,686] 58 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-14 18:08:13,686] 60 root -INFO - Starting data transformation...
[ 2025-08-14 18:08:13,712] 42 root -INFO - Creating a data transformer object for data transformation class
[ 2025-08-14 18:08:13,713] 48 root -INFO -  Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2025-08-14 18:08:13,725] 47 root -INFO - Entered save_object method od mainUtils class 
[ 2025-08-14 18:08:13,730] 51 root -INFO - Exited the save_object method od mainUtils class 
[ 2025-08-14 18:08:13,731] 36 root -INFO -  Data Transformation Completed 
[ 2025-08-14 18:08:13,731] 39 root -INFO - Model Training Started
[ 2025-08-14 18:13:18,233] 47 root -INFO - Entered save_object method od mainUtils class 
[ 2025-08-14 18:13:18,256] 51 root -INFO - Exited the save_object method od mainUtils class 
[ 2025-08-14 18:13:18,256] 101 root -INFO - Model trainer artifact:ModelTrainerArtifact(trained_model_file_path='Artifacts\\ 08_14_2025_18_08_07\\model_trainer\\Trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914392184510021, precision_score=0.9879566439181052, recall_score=0.9949464321811199), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9740847387906212, precision_score=0.9696969696969697, recall_score=0.9785123966942149))
[ 2025-08-14 18:13:18,257] 43 root -INFO - Model Training Completed
