[ 2025-08-14 17:32:57,146] 16 root -INFO - Initiate the data ingestion 
[ 2025-08-14 17:33:00,922] 68 root -INFO -  Performed train test Split on the dataframe
[ 2025-08-14 17:33:00,922] 70 root -INFO -  Exited split_data_as_train_test method of the data ingestion class
[ 2025-08-14 17:33:00,923] 78 root -INFO - Exporting train data and test file path 
[ 2025-08-14 17:33:00,995] 87 root -INFO - Exported train data and test file path 
[ 2025-08-14 17:33:00,996] 18 root -INFO - Data ingestion is completed
[ 2025-08-14 17:33:01,005] 22 root -INFO - Initiate the data validation 
[ 2025-08-14 17:33:01,071] 37 root -INFO -  Required number of columns: 2
[ 2025-08-14 17:33:01,072] 38 root -INFO - Data frame has columns: 31
[ 2025-08-14 17:33:01,239] 24 root -INFO -  Data validation Completed
[ 2025-08-14 17:33:01,240] 27 root -INFO - Data transformation Started
[ 2025-08-14 17:33:01,240] 58 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-14 17:33:01,240] 60 root -INFO - Starting data transformation...
[ 2025-08-14 17:33:01,268] 42 root -INFO - Creating a data transformer object for data transformation class
[ 2025-08-14 17:33:01,268] 48 root -INFO -  Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2025-08-14 17:33:01,281] 47 root -INFO - Entered save_object method od mainUtils class 
[ 2025-08-14 17:33:01,285] 51 root -INFO - Exited the save_object method od mainUtils class 
[ 2025-08-14 17:33:01,286] 32 root -INFO -  Data Transformation Completed 
