[ 2025-08-14 17:45:17,713] 18 root -INFO - Initiate the data ingestion 
[ 2025-08-14 17:45:21,389] 68 root -INFO -  Performed train test Split on the dataframe
[ 2025-08-14 17:45:21,390] 70 root -INFO -  Exited split_data_as_train_test method of the data ingestion class
[ 2025-08-14 17:45:21,390] 78 root -INFO - Exporting train data and test file path 
[ 2025-08-14 17:45:21,509] 87 root -INFO - Exported train data and test file path 
[ 2025-08-14 17:45:21,510] 20 root -INFO - Data ingestion is completed
[ 2025-08-14 17:45:21,521] 24 root -INFO - Initiate the data validation 
[ 2025-08-14 17:45:21,699] 37 root -INFO -  Required number of columns: 2
[ 2025-08-14 17:45:21,699] 38 root -INFO - Data frame has columns: 31
[ 2025-08-14 17:45:21,871] 26 root -INFO -  Data validation Completed
[ 2025-08-14 17:45:21,872] 29 root -INFO - Data transformation Started
[ 2025-08-14 17:45:21,872] 58 root -INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-14 17:45:21,872] 60 root -INFO - Starting data transformation...
[ 2025-08-14 17:45:21,906] 42 root -INFO - Creating a data transformer object for data transformation class
[ 2025-08-14 17:45:21,906] 48 root -INFO -  Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2025-08-14 17:45:21,919] 47 root -INFO - Entered save_object method od mainUtils class 
[ 2025-08-14 17:45:21,923] 51 root -INFO - Exited the save_object method od mainUtils class 
[ 2025-08-14 17:45:21,924] 34 root -INFO -  Data Transformation Completed 
[ 2025-08-14 17:45:21,924] 36 root -INFO - Model Training Started
